,name,level,hot,address,num
48,中央电视塔,4A景区,0.72,[北京·北京·海淀区],144
49,前门大街,3A景区,0.8,[北京·北京·东城区],20
50,北京自然博物馆,,0.7,[北京·北京·东城区],24
51,中国皮影传习体验馆,,,[北京·北京·东城区],38
52,长陵,,0.72,[北京·北京·明十三陵],62
53,神路,,,[北京·北京·明十三陵],48
54,北京中华民族园,,0.72,[北京·北京·朝阳区],548
55,古北水镇天然温泉,,,[北京·北京·古北水镇],262
56,十渡聚龙湾玻璃栈道,,,[北京·北京·十渡风景区],712
57,孔庙和国子监博物馆,,,[北京·北京·东城区],22
58,八达岭野生动物园,3A景区,0.7,[北京·北京·延庆县],262
59,天安门城楼,,0.72,[北京·北京·东城区],64
60,水立方嬉水乐园,,,[北京·北京·水立方],42
61,水关长城,4A景区,,[北京·北京·延庆县],18
62,北京汽车博物馆,,,[北京·北京·丰台区],268
63,太平洋海底世界,3A景区,0.7,[北京·北京·海淀区],142
64,世界花卉大观园,4A景区,0.7,[北京·北京·丰台区],996
65,圣泉山,,,[北京·北京·怀柔区],268
66,中国科学技术馆,4A景区,,[北京·北京·朝阳区],70
67,毛主席纪念堂,,0.76,[北京·北京·东城区],6
68,八大处公园,4A景区,0.72,[北京·北京·石景山区],578
69,烟袋斜街,,0.72,[北京·北京·西城区],45
70,观复古典艺术博物馆,,0.7,[北京·北京·朝阳区],26
71,仙栖洞,3A景区,0.7,[北京·北京·房山区],302
72,国子监,4A景区,0.74,[北京·北京·东城区],8
73,老北京胡同游,,,[北京·北京·西城区],6
74,北京天文馆,3A景区,0.72,[北京·北京·海淀区],16
75,司马台长城,4A景区,0.76,[北京·北京·密云县],96
76,北京大学,,0.78,[北京·北京·海淀区],10
77,郁金香摩锐温泉水世界,,0.7,[北京·北京·朝阳区],20
78,南锣鼓巷,3A景区,0.76,[北京·北京·东城区],8
79,十渡誓言玻璃栈道,,,[北京·北京·腾龙仙苑旅游度假风景区],152
80,孔庙,4A景区,0.72,[北京·北京·东城区],38
81,什刹海后海游船,,,[北京·北京·什刹海],86
82,十渡风景区,4A景区,0.72,[北京·北京·房山区],130
83,红螺寺,4A景区,0.7,[北京·北京·怀柔区],566
84,王府井商业街,,0.76,[北京·北京·东城区],34
85,富国海底世界,4A景区,0.7,[北京·北京·朝阳区],76
86,梦幻长城球幕影院,,,[北京·北京·延庆县],6
87,香山公园,4A景区,0.72,[北京·北京·海淀区],26
88,德云社新街口剧场,,,[北京·北京·西城区],79
89,中国科技馆,4A景区,0.72,[北京·北京·西城区],55
90,纪晓岚故居,,0.7,[北京·北京·西城区],10
91,京东石林峡,4A景区,0.7,[北京·北京·平谷区],222
92,泰山皮影戏,,,[北京·北京·前门大街],90
93,鸟巢3D美术馆,,,[北京·北京·朝阳区],4
94,梨园剧场,,,[北京·北京·西城区],97
95,北京活的3D博物馆,,,[北京·北京·朝阳区],22
96,天门山,,0.7,[北京·北京·密云县],4
97,周口店北京猿人遗址,4A景区,0.7,[北京·北京·房山区],36
98,鼓楼121,,,[北京·北京·西城区],24
99,平谷桃花海,,,[北京·北京·平谷区],654
100,北京古代建筑博物馆,,0.7,[北京·北京·东城区],8
101,圆明园遗址公园绮春园,,,[北京·北京·海淀区],4
102,昭陵,,0.7,[北京·北京·明十三陵],2
103,乐佛山风景区,,,[北京·北京·房山世界地质公园],86
104,北京国际鲜花港,4A景区,,[北京·北京·顺义区],252
105,北京工人俱乐部金沙剧场,,,[北京·北京·西城区],10
106,北京明城墙遗址公园,4A景区,,[北京·北京·东城区],54
107,金海湖风景区,4A景区,0.7,[北京·北京·平谷区],380
108,熊猫馆,,,[北京·北京·北京动物园],4
109,空手到行李寄送,,,[北京·北京·朝阳区],2
110,十渡东湖港,4A景区,,[北京·北京·房山区],72
111,798艺术区,,0.72,[北京·北京·朝阳区],2
112,中国国家博物馆,,0.7,[北京·北京·东城区],85
113,鸟巢CAIA北京会展中心,,,[北京·北京·朝阳区],62
114,房山世界地质公园,,0.7,[北京·北京·房山区],56
115,怀柔青龙峡,4A景区,0.7,[北京·北京·怀柔区],52
116,石景山游乐园,4A景区,0.7,[北京·北京·石景山区],46
117,北京欢乐谷金面王朝,,,[北京·北京·北京欢乐谷],16
118,凯悦莱清·汤泉,,,[北京·北京·房山区],8
119,中国古动物馆,,0.7,[北京·北京·西城区],47
120,红剧场,,,[北京·北京·东城区],49
121,运河苑温泉水世界,,,[北京·北京·通州区],60
122,张裕爱斐堡,4A景区,,[北京·北京·密云县],76
123,灵山,,0.7,[北京·北京·门头沟区],32
124,中国紫檀博物馆,4A景区,0.7,[北京·北京·朝阳区],10
125,远去的恐龙,,,[北京·北京·朝阳区],50
126,龙庆峡,4A景区,0.7,[北京·北京·延庆县],44
127,中国人民抗日战争纪念馆,4A景区,0.7,[北京·北京·丰台区],10
128,古北之光温泉,,,[北京·北京·古北水镇],4
129,水立方游泳馆,,,[北京·北京·水立方],96
130,地坛公园,,0.72,[北京·北京·东城区],6
131,鸟巢北京会展中心3D美术馆,,,[北京·北京·鸟巢],10
132,中国航空博物馆,4A景区,0.7,[北京·北京·昌平区],12
133,潭柘寺,4A景区,0.7,[北京·北京·门头沟区],32
134,健龙森俱乐部,,,[北京·北京·通州区],10
135,鸟巢VR虚拟现实体验馆,,,[北京·北京·鸟巢],60
136,奥林匹克森林公园,,,[北京·北京·奥林匹克公园],54
137,古北水镇司马台新村山水城,,,[北京·北京·密云县],67
138,清凉谷风景区,3A景区,0.7,[北京·北京·密云县],36
139,北京乐多港奇幻乐园,,,[北京·北京·昌平区],112
140,浩泰冰上运动中心（天通苑店）,,,[北京·北京·昌平区],61
141,孤山寨,,,[北京·北京·十渡风景区],60
142,星美今晟影视城,,,[北京·北京·怀柔区],18
143,十渡龙湖湾漂流,,,[北京·北京·房山区],4
144,中山公园,4A景区,0.72,[北京·北京·东城区],4
145,百花山,3A景区,0.7,[北京·北京·门头沟区],8
146,呀路古热带植物园,3A景区,,[北京·北京·大兴区],92
147,桃源仙谷,4A景区,0.7,[北京·北京·密云县],272
148,玉渡山,,0.7,[北京·北京·延庆县],662
149,华夏名都温泉,,,[北京·北京·朝阳区],56
150,青山园景区,,,[北京·北京·延庆县],20
151,北京园博园,,,[北京·北京·丰台区],198
152,人间花海,,,[北京·北京·密云县],8
153,北宫国家森林公园,4A景区,0.7,[北京·北京·丰台区],1550
154,西山国家森林公园,,0.72,[北京·北京·海淀区],86
155,北京比如世界,,,[北京·北京·朝阳区],6
156,蟒山国家森林公园,3A景区,0.7,[北京·北京·昌平区],54
157,坡峰岭,,,[北京·北京·房山区],70
158,韩国洗浴汗蒸馆,,,[北京·北京·海淀区],34
159,百里山水画廊,4A景区,,[北京·北京·延庆县],14
160,云岫谷游猎,,0.7,[北京·北京·密云县],91
161,金龙建国温泉酒店温泉区,,,[北京·北京·东城区],73
162,陶然亭公园,4A景区,0.72,[北京·北京·宣武区],8
163,北京游览年票,,,[北京·北京],51
164,冶仙塔,,0.7,[北京·北京·密云县],36
165,权金城休闲家园（农大店）,,,[北京·北京·海淀区],63
166,十渡天河谷,,,[北京·北京·腾龙仙苑旅游度假风景区],10
167,万寿寺,,0.7,[北京·北京·海淀区],97
168,紫竹院公园,4A景区,0.72,[北京·北京·海淀区],82
169,十渡拒马乐园,,,[北京·北京·十渡风景区],42
170,温都水城,4A景区,0.7,[北京·北京·昌平区],32
171,鹫峰森林公园,3A景区,0.7,[北京·北京·海淀区],238
172,北京植物园,4A景区,0.7,[北京·北京·海淀区],6
173,古北水镇大酒店,,,[北京·北京·密云县],16
174,艾瑞得游泳健身会馆,,,[北京·北京·通州区],65
175,青龙山,4A景区,0.7,[北京·北京·平谷区],4
176,八达岭国家森林公园,3A景区,0.7,[北京·北京·延庆县],54
177,银山塔林,4A景区,0.7,[北京·北京·昌平区],85
178,仙西山,,,[北京·北京·房山区],84
179,小龙门森林公园,,0.7,[北京·北京·门头沟区],96
180,警察博物馆,,,[北京·北京·东交民巷],45
181,箭扣长城,,0.7,[北京·北京·怀柔区],2
182,KOKOMA航海主题乐园（水立方）,,,[北京·北京·水立方游泳馆],2
183,中国铁道博物馆,,,[北京·北京·朝阳区],61
184,八达岭饭店,,,[北京·北京·八达岭长城],66
185,北京龙潭公园中心岛剧场,,,[北京·北京·龙潭湖公园],34
186,阳光洗浴,,,[北京·北京·通州区],4
187,辉祥洗浴中心,,,[北京·北京·大兴区],47
188,十渡风景区老A兵团,,,[北京·北京·十渡风景区],45
189,胜古游泳馆,,,[北京·北京·朝阳区],79
190,保利艺术博物馆,,,[北京·北京·东城区],84
191,王府井天主堂,,0.7,[北京·北京·东城区],51
192,大城小像•北京,,,[北京·北京·前门大街],4
193,英睿游泳健身中心（来春园店）,,,[北京·北京·朝阳区],58
194,石花洞月亮山景区,,,[北京·北京·石花洞国家地质公园],90
195,塘沽外滩游船,,,[天津·天津·滨海新区],206
196,静园-末代皇帝溥仪旧居,3A景区,,[天津·天津·和平区],170
197,五大道之马场道,,,[天津·天津·五大道],90
198,张学良故居,,0.72,[天津·天津·和平区],102
199,古文化街码头,,,[天津·天津·南开区],44
200,天津海昌极地海洋公园,4A景区,,[天津·天津·滨海新区],1100
201,天津欢乐谷,4A景区,,[天津·天津·东丽区],606
202,天津泰达航母主题公园,4A景区,0.7,[天津·天津·滨海新区],102
203,天津元升相声茶馆,,,[天津·天津·南开区],40
204,海河桥,,,[天津·天津·河北区],190
205,瓷房子,3A景区,0.82,[天津·天津·和平区],30
206,意式风情街,,,[天津·天津·河北区],16
207,大沽口炮台遗址,,0.74,[天津·天津·滨海新区],146
208,天塔湖,4A景区,0.7,[天津·天津·河西区],40
209,天津方特欢乐世界,,,[天津·天津·滨海新区],502
210,天津之眼摩天轮,4A景区,,[天津·天津·河北区],8
211,萤火虫奇趣体验馆,,,[天津·天津],8
212,石家大院,4A景区,0.74,[天津·天津·西青区],12
213,南市食品街,,1.0,[天津·天津·和平区],71
214,天津古文化街,5A景区,0.8400000000000001,[天津·天津·南开区],37
215,南开大学,,0.8400000000000001,[天津·天津·南开区],79
216,五大道,4A景区,,[天津·天津·和平区],12
217,尔宝瑞蜡像馆,,,[天津·天津·河北区],6
218,天津盘山风景名胜区,5A景区,0.8,[天津·天津·蓟县],212
219,天津蓟州黄崖关长城景区,4A景区,0.74,[天津·天津·蓟县],44
220,天下盘山剧场,,,[天津·天津·天津盘山风景名胜区],32
221,大悲禅院,4A景区,0.78,[天津·天津·河北区],49
222,天山海世界米立方,4A景区,,[天津·天津·津南区],38
223,秀水蓝湾温泉酒店,,,[天津·天津·西青区],66
224,海河游船,,,[天津·天津·古文化街码头],14
225,天津zoonly动物主题公园,,,[天津·天津·和平区],14
226,鼓楼,,0.78,[天津·天津·和平区],60
227,2018十一津湾滑稽·杂技·大马戏专场演出,,,[天津·天津·和平区],6
228,丽水湖温泉休闲酒店,,,[天津·天津·河北区],72
229,天津水上公园,4A景区,0.8400000000000001,[天津·天津·南开区],2
230,霍元甲纪念馆,,0.7,[天津·天津·精武门·中华武林园],2
231,海河公园,,,[天津·天津·和平区],4
232,海河外滩公园,,,[天津·天津·滨海新区],82
233,天津东疆湾沙滩景区,4A景区,,[天津·天津·滨海新区],22
234,民国物语博物馆,,,[天津·天津·西青区],28
235,天津晶宝农庄,,,[天津·天津·宝坻区],77
236,精武门·中华武林园,4A景区,,[天津·天津·西青区],89
237,梨木台,4A景区,0.72,[天津·天津·蓟县],154
238,独乐寺,4A景区,0.74,[天津·天津·蓟县],12
239,希乐城少儿职业探索乐园,,,[天津·天津·西青区],34
240,西双塘冰雪嘉年,3A景区,,[天津·天津·静海县],76
241,天津博物馆,3A景区,0.74,[天津·天津·河西区],91
242,团泊湖温泉,,,[天津·天津·团泊风景区],12
243,天津自然博物馆,,0.7,[天津·天津·河西区],44
244,津门故里,,,[天津·天津·南开区],62
245,洋货市场,,0.8,[天津·天津·滨海新区],4
246,天津京津新城凯悦酒店温泉,,,[天津·天津·宝坻区],89
247,天津万源龙顺宇宙之星科技馆,,,[天津·天津·北辰区],2
248,臻美汗蒸时代,,,[天津·天津·滨海新区],85
249,天津沐清汇温泉洗浴,,,[天津·天津·武清区],47
250,天津SOHO游泳健身,,,[天津·天津·南开区],36
251,江山温泉,,,[天津·天津·河西区],2
252,二南开羽毛球馆,,,[天津·天津·南开区],2
253,双发游泳馆,,,[天津·天津·北辰区],77
254,李叔同故居,,0.7,[天津·天津·河北区],81
255,蹦客地带蹦床主题运动馆,,,[天津·天津·南开区],59
256,广川大酒店,,,[天津·天津·津南区],40
257,彩悦城游乐套餐,,,[天津·天津·河西区],42
258,袁氏宅邸,,0.7,[天津·天津·河北区],4
259,玉佛禅寺,3A景区,,[天津·天津·西青区],53
260,金汤桥,,,[天津·天津·南开区],80
261,天津滨海文化中心,,,[天津·天津·滨海新区],35
262,世纪钟,,,[天津·天津·河北区],99
263,曹庄花卉市场,,0.7,[天津·天津·西青区],34
264,七里海,4A景区,0.7,[天津·天津·宁河县],24
265,天津小站练兵园,,0.7,[天津·天津·津南区],32
266,中华曲苑,,,[天津·天津·和平区],60
267,绿色世界生态园,,,[天津·天津·宝坻区],82
268,乐汤汇温泉生活馆,,,[天津·天津·河东区],46
269,平津战役纪念馆,,0.72,[天津·天津·红桥区],4
270,杨柳青古镇风情街,,0.7,[天津·天津·西青区],45
271,望海楼,,0.8,[天津·天津·河北区],45
272,马可波罗广场,,,[天津·天津·和平区],96
273,和平路金街,,0.7,[天津·天津·和平区],30
274,蓝天盛景拓展基地,,,[天津·天津·宝坻区],30
275,西双塘兴龙温泉生态城,,,[天津·天津·静海县],49
276,天津龙达温泉生态城,,,[天津·天津·滨海新区],36
277,天津市众博达彩弹射击场,,,[天津·天津·东丽区],88
278,凯旋王国,,,[天津·天津·武清区],8
279,金美达龙泽水汇戏水乐园,,,[天津·天津·静海县],51
280,天津光合谷（天沐）温泉,,,[天津·天津·光合谷旅游度假区],10
281,东丽湖恒大世博国际温泉,,,[天津·天津·东丽区],16
282,天津玛雅海滩水公园,,,[天津·天津·东丽区],8
283,天津热带植物观光园,4A景区,0.7,[天津·天津·西青区],43
284,盛世澜湾温泉,,,[天津·天津·静海县],32
285,九山顶,,0.72,[天津·天津·蓟县],48
286,光合谷旅游度假区,4A景区,,[天津·天津·静海县],104
287,天津动物园滑雪场,,,[天津·天津·天津水上公园],62
288,宝成博物苑,4A景区,0.7,[天津·天津·津南区],2
289,京滨玫瑰庄园,,,[天津·天津·武清区],6
290,八仙古洞,,,[天津·天津·蓟县],10
291,TBK卡丁车俱乐部,,,[天津·天津·北辰区],76
292,西青郊野公园,,,[天津·天津·西青区],60
293,天津蓟州车神架风景区,,,[天津·天津·蓟县],4
294,中北镇广场,,,[天津·天津·西青区],75
295,帝景温泉滑草场,,,[天津·天津·宝坻区],40
296,天津清湖洗浴,,,[天津·天津·南开区],90
297,天津金泰丽舍温泉酒店,,,[天津·天津·武清区],63
298,天津武清绿博园,4A景区,,[天津·天津·武清区],68
299,解放桥,,,[天津·天津·和平区],67
300,惜缘洗浴,,,[天津·天津·宁河县],51
301,NBA Center,,,[天津·天津·武清区],30
302,天津宝堂汤泉,,,[天津·天津·北辰区],63
303,炼金师实验室,,,[天津·天津·西青区],60
304,杨柳青木版年画博物馆,,,[天津·天津·河西区],84
305,龙顺度假庄园生态观光园,3A景区,,[天津·天津·北辰区],33
306,帝景温泉,,,[天津·天津·宝坻区],4
307,团泊风景区,4A景区,0.7,[天津·天津·静海县],39
308,二南开中学游泳馆,,,[天津·天津·和平区],76
309,星期六亲子休闲美式农场,,,[天津·天津·西青区],2
310,凌奥温泉,,,[天津·天津·南开区],6
311,蓟州溶洞,3A景区,,[天津·天津·蓟县],10
312,天津阿拉丁足浴城,,,[天津·天津·西青区],47
313,非遗津粹相声专场演出,,,[天津·天津·和平区],67
314,三源益康游泳馆,,,[天津·天津·河东区],89
315,杨柳青庄园,4A景区,,[天津·天津·西青区],67
316,华夏相声茶馆艺术会馆,,,[天津·天津·南开区],84
317,蓟洲彩虹谷,,,[天津·天津],2
318,广川温泉酒店,,,[天津·天津·津南区],4
319,水高庄园,4A景区,,[天津·天津·西青区],33
320,港顺8号温泉,,,[天津·天津·津南区],4
321,泉水湾温泉中心,,,[天津·天津·北辰区],10
322,爱堡迪游泳健身,,,[天津·天津·河北区],91
323,名仕达游泳馆,,,[天津·天津·河西区],4
324,盘山滑草场,,,[天津·天津·蓟县],2
325,黑峪神秘谷,,,[天津·天津·蓟县],71
326,天津白蛇谷原生态景区,,,[天津·天津·蓟县],4
327,八仙山自然保护区,3A景区,0.72,[天津·天津·蓟县],60
328,天津圣和汤泉,,,[天津·天津·河西区],2
329,索亚风尚酒店温泉,,,[天津·天津·河东区],40
330,石龙峡,,,[天津·天津·蓟县],91
331,蓟县北方江南,,,[天津·天津·蓟县],61
332,狮子林桥,,,[天津·天津·南开区],69
333,天津蓟县紫云水岸香草园,,,[天津·天津·蓟县],14
334,九龙山国家森林公园,3A景区,0.72,[天津·天津·蓟县],97
335,天津欢乐水魔方水上乐园,,,[天津·天津·滨海新区],0
336,小蚂蚁儿童农庄,,,[天津·天津·津南区],0
337,启橙娱乐,,,[天津·天津·河西区],0
338,盘山高尔夫俱乐部,,,[天津·天津·蓟县],0
339,京津高尔夫俱乐部,,0.7,[天津·天津·津南区],0
340,天津港,,,[天津·天津·滨海新区],0
341,天津蓟县圣世宫温泉,,,[天津·天津·蓟县],0
342,古文化街燕乐升萍相声茶馆,,,[天津·天津·南开区],0
343,二宫公园,,,[天津·天津·河东区],0
344,鼓楼茶馆,,,[天津·天津·南开区],0
345,古文化街老戏楼店,,,[天津·天津·南开区],0
346,华夏鞋文化博物馆,,,[天津·天津·南开区],0
347,庆王府,,0.7,[天津·天津·和平区],0
348,孔府家酒楼九河相声大会,,,[天津·天津·和平区],0
349,马小川相声社,,,[天津·天津·南开区],0
350,宏佲健身俱乐部,,,[天津·天津·和平区],0
351,三源保龄球俱乐部,,,[天津·天津·河东区],0
352,天津鼓楼天街茶馆相声帮,,,[天津·天津·鼓楼茶馆],0
353,和谐艺术团相声社,,,[天津·天津·和平区],0
354,瞳艺3D艺术画展（天津馆）,,,[天津·天津·南开区],0
355,X街区5D动感体验馆,,,[天津·天津·南开区],0
356,毛家峪印象滑雪场,,,[天津·天津·蓟县],0
357,爱江山玉桑拿休闲中心,,,[天津·天津·河西区],0
358,龙顺庄园水世界,,,[天津·天津·龙顺度假庄园生态观光园],0
359,宁园,4A景区,0.76,[天津·天津·河北区],0
360,渤海湾七里海生态园,4A景区,,[天津·天津·宁河县],0
361,外滩公园大沽化游船,,,[天津·天津·滨海新区],0
362,天后宫,3A景区,,[天津·天津·南开区],0
363,天津老城小梨园,3A景区,,[天津·天津·南开区],0
364,燕王湖湿地生态园,3A景区,,[天津·天津·武清区],0
365,大港奥林匹克博物馆,3A景区,,[天津·天津·滨海新区],0
366,松江乡村休闲旅游区,4A景区,,[天津·天津·津南区],0
367,天津图书馆,,0.7,[天津·天津·南开区],0
368,天津义和团纪念馆,,,[天津·天津·红桥区],0
369,龙泉山游乐园,,0.7,[天津·天津·蓟县],0
370,缰驭马术俱乐部,,,[天津·天津·东丽区],0
371,小白楼1902欧式风情街,3A景区,,[天津·天津·和平区],0
372,天津科学技术馆,3A景区,0.7,[天津·天津·河西区],0
373,西开教堂,,0.8,[天津·天津·和平区],0
374,滨江道,,,[天津·天津·和平区],0
375,利顺德大饭店,3A景区,,[天津·天津·和平区],0
376,茶淀葡萄科技园,3A景区,,[天津·天津·滨海新区],0
377,天津大学,,0.82,[天津·天津·南开区],0
378,双层观光巴士（古文化街店）,,,[天津·天津·南开区],0
379,名流茶馆古文化街店,,,[天津·天津·南开区],0
380,彩乐陶,,,[天津·天津·滨海新区],0
381,名流茶馆新华路店,,,[天津·天津·和平区],0
382,霍元甲故居,,,[天津·天津·精武门·中华武林园],0
383,蓟县战神谷真人CS基地,,,[天津·天津·蓟县],0
384,大港油田牧马人野骑俱乐部,,,[天津·天津·滨海新区],0
385,中国金融博物馆,,,[天津·天津·和平区],0
386,华梦葡萄酒文化博物馆,,,[天津·天津·滨海新区],0
387,毛家峪印象水城,,,[天津·天津·蓟县],0
388,蓝天盛景高尔夫.马术俱乐部,,,[天津·天津·宝坻区],0
389,天津草莓音乐节,,,[天津·天津·滨海新区],0
390,东方明珠,5A景区,0.76,[上海·上海·浦东新区],2043
391,黄浦江游船,,,[上海·上海·东方明珠],1268
392,上海杜莎夫人蜡像馆,4A景区,0.74,[上海·上海·黄浦区],1246
393,东方明珠豪华浦江游船东方明珠码头,,,[上海·上海·浦东新区],538
394,上海科技馆,5A景区,0.74,[上海·上海·浦东新区],826
395,豫园,4A景区,0.8400000000000001,[上海·上海·黄浦区],286
396,上海迪士尼乐园,,,[上海·上海·浦东新区],5149
397,上海野生动物园,5A景区,0.72,[上海·上海·浦东新区],3200
398,金茂大厦88层观光厅,4A景区,0.76,[上海·上海·浦东新区],300
399,上海中心大厦,,,[上海·上海·浦东新区],404
400,上海海洋水族馆,4A景区,0.74,[上海·上海·浦东新区],1530
401,环球金融中心观光厅,4A景区,0.72,[上海·上海·浦东新区],330
402,外滩观光隧道,,0.7,[上海·上海·黄浦区],264
403,黄浦江游览,,,[上海·上海·黄浦区],374
404,东方明珠空中旋转餐厅,,,[上海·上海·东方明珠],234
405,外滩,,1.0,[上海·上海·黄浦区],116
406,上海影视乐园,4A景区,0.7,[上海·上海·松江区],894
407,上海都市旅游观光巴士,,,[上海·上海·静安区],50
408,上海自然博物馆,,0.7,[上海·上海·静安区],784
409,上海历史发展陈列馆,,,[上海·上海·东方明珠],106
410,南京路步行街,,0.82,[上海·上海·黄浦区],20
411,磁浮列车,,,[上海·上海·浦东新区],56
412,上海博物馆,4A景区,0.76,[上海·上海·黄浦区],54
413,上海城隍庙,,0.76,[上海·上海·黄浦区],22
414,上海人民广场,,0.72,[上海·上海·黄浦区],32
415,上海星空错觉艺术馆,,,[上海·上海·黄浦区],194
416,上海欢乐谷,4A景区,0.72,[上海·上海·松江区],1374
417,上海动物园,4A景区,0.72,[上海·上海·长宁区],1114
418,朱家角古镇,4A景区,0.72,[上海·上海·青浦区],78
419,迪士尼小镇,,,[上海·上海·浦东新区],14
420,城隍庙旅游区,,,[上海·上海·黄浦区],56
421,大悦城屋顶摩天轮,,,[上海·上海·闸北区],46
422,3D魔幻趣味馆,,,[上海·上海·浦东新区],64
423,都市观光旅游巴士,,,[上海·上海·黄浦区],36
424,奇人异事展,,,[上海·上海·浦东新区],22
425,星愿公园,,,[上海·上海·浦东新区],8
426,上海人民公园,,0.7,[上海·上海·黄浦区],18
427,外滩观光隧道AR体验馆,,,[上海·上海·黄浦区],8
428,上海城市规划展示馆,4A景区,0.7,[上海·上海·黄浦区],68
429,上海外滩星空艺术馆,,,[上海·上海·黄浦区],48
430,上海乐高探索中心,,,[上海·上海·普陀区],20
431,上海长风海洋世界,4A景区,0.7,[上海·上海·普陀区],1336
432,船长号游船浦江游览,,,[上海·上海·杨浦区],32
433,上海泰迪之家博物馆,,,[上海·上海·浦东新区],8
434,上海观复博物馆,,,[上海·上海·浦东新区],10
435,上海汽车博物馆,,0.7,[上海·上海·嘉定区],58
436,佘山国家旅游度假区,4A景区,0.7,[上海·上海·松江区],62
437,上海迪士尼摄影服务,,,[上海·上海·浦东新区],92
438,迪士尼食品,,,[上海·上海·浦东新区],60
439,上海世纪公园,4A景区,0.72,[上海·上海·浦东新区],228
440,上海黄浦江游览（世博大道）,,,[上海·上海·黄浦区],78
441,碧海金沙水上乐园,,0.7,[上海·上海·奉贤区],242
442,上海马戏城,,0.72,[上海·上海·闸北区],64
443,平安号黄浦江游船,,,[上海·上海·浦东新区],75
444,秋水怡人汗蒸汤池,,,[上海·上海],33
445,上海大自然野生昆虫馆,,0.7,[上海·上海·浦东新区],52
446,陆家嘴,,,[上海·上海·浦东新区],69
447,泰晤士小镇,,,[上海·上海·松江区],79
448,枫泾古镇,4A景区,0.72,[上海·上海·金山区],52
449,上海世博会博物馆,,,[上海·上海·卢湾区],4
450,锦江乐园,4A景区,0.72,[上海·上海·闵行区],70
451,上海世博园,,0.82,[上海·上海·浦东新区],59
452,上海电影博物馆,,,[上海·上海·徐汇区],24
453,七宝古镇,,0.7,[上海·上海·闵行区],78
454,上海风电科普馆,,,[上海·上海·浦东新区],95
455,顾村公园,,,[上海·上海·宝山区],116
456,中国航海博物馆,4A景区,,[上海·上海·浦东新区],44
457,上海名人蜡像馆,,,[上海·上海·嘉定区],4
458,南翔古镇,4A景区,,[上海·上海·嘉定区],57
459,南翔老街,4A景区,,[上海·上海·南翔古镇],86
460,田子坊,3A景区,0.76,[上海·上海·卢湾区],8
461,琉璃中国博物馆,,,[上海·上海·卢湾区],8
462,上海大观园,4A景区,0.7,[上海·上海·青浦区],62
